floor,garage,m2,price,rooms,target,zone,prob
2ª,0,50,218000,1,0,Sant Pere,0.492
5ª,0,40,159000,1,0,El Raval,0.57
2ª,0,40,200000,2,0,La Barceloneta,0.318
Casa,0,45,249000,1,0,El Raval,0.25
5ª,0,60,350000,2,0,El Raval,0.166
2ª,0,160,900000,4,0,Sant Pere,0.088
4ª,0,80,450000,2,0,El Raval,0.05
6ª,0,31,145000,1,0,Sant Pere,0.448
2ª,0,64,275000,2,0,Sant Pere,0.45
1ª,1,82,590000,2,0,Sant Pere,0.308
3ª,0,125,630000,1,0,Sant Pere,0.046
3ª,0,50,420000,1,0,Sant Pere,0.208
4ª,0,52,290000,1,0,El Raval,0.204
7ª,0,60,495000,2,0,Nou Barris,0.292
4ª,0,150,441000,3,0,El Gòtic,0.44
5ª,0,84,285000,2,0,Sant Pere,0.494
5ª,0,45,180000,2,0,La Barceloneta,0.42
Entreplanta,0,116,395000,3,0,El Gòtic,0.322
Casa,0,293,2500000,2,0,Sant Pere,0.05
1ª,0,345,2600000,2,0,Sant Pere,0.078
6ª,0,73,599000,2,0,El Gòtic,0.15
1ª,0,150,590000,3,0,El Gòtic,0.282
Casa,0,155,890000,3,0,El Gòtic,0.316
Casa,0,293,2500000,2,0,Sant Pere,0.05
1ª,0,112,416000,3,0,Sants,0.242
2ª,0,66,257000,3,1,El Poble Sec,0.92
1ª,0,67,300000,2,0,El Poble Sec,0.526
1ª,0,57,398000,1,0,El Poble Sec,0.56
1ª,0,84,330000,4,0,Sants,0.352
1ª,0,99,369000,3,1,Sants,0.924
3ª,0,60,220000,2,1,El Poble Sec,0.686
Bajo,0,68,295000,2,1,El Poble Sec,0.496
4ª,0,61,349000,2,1,El Poble Sec,0.812
7ª,0,101,359000,3,0,El Poble Sec,0.588
3ª,0,90,275000,4,0,El Poble Sec,0.258
Casa,0,105,355000,4,1,Sants,0.852
5ª,0,170,750000,5,0,Sants,0.312
3ª,0,80,300000,3,0,El Poble Sec,0.456
1ª,0,66,225000,2,1,El Poble Sec,1
4ª,0,105,355000,4,1,Sants,0.85
4ª,0,80,229000,4,0,Sants,0.664
Casa,0,115,330000,2,0,El Poble Sec,0.464
6ª,0,55,359000,3,1,El Poble Sec,0.856
2ª,0,72,330000,2,0,El Poble Sec,0.556
1ª,0,92,360000,3,1,Sants,0.806
5ª,0,74,470000,2,0,El Poble Sec,0.102
2ª,0,60,385000,2,0,El Poble Sec,0.538
Casa,0,140,400000,2,0,Sants,0.374
Bajo,0,62,160000,2,0,Sants,0.592
2ª,0,67,330000,2,0,El Poble Sec,0.54
1ª,0,80,320000,3,0,El Poble Sec,0.534
Casa,0,56,220000,3,0,El Poble Sec,0.284
3ª,0,45,189000,2,1,Sants,0.722
2ª,0,53,205000,1,0,Sants,0.13
4ª,0,111,410000,4,0,El Poblenou,0.284
2ª,0,82,250000,3,0,El Clot,0.348
3ª,0,55,275000,2,0,El Poblenou,0.072
6ª,0,83,210000,3,0,El Clot,0.546
Casa,0,150,685000,3,0,El Poblenou,0.236
7ª,1,100,570000,3,0,Diagonal Mar,0.322
Atico,0,98,595000,3,0,Diagonal Mar,0.462
3ª,0,66,270000,2,0,Camp de l'Arpa,0.772
6ª,1,65,440000,1,0,El Poblenou,0.236
Atico,0,146,1300000,3,0,Diagonal Mar,0.238
4ª,0,48,185000,3,0,El Poblenou,0.412
4ª,0,102,325000,4,0,El Clot,0.524
7ª,1,90,585000,3,0,Diagonal Mar,0.404
4ª,0,65,210000,2,0,Camp de l'Arpa,0.652
4ª,0,120,950000,3,0,Diagonal Mar,0.284
5ª,0,88,295000,4,0,Camp de l'Arpa,0.496
3ª,0,63,259000,2,0,El Clot,0.45
1ª,0,57,215000,2,0,El Poblenou,0.242
Bajo,0,75,275000,2,0,El Poblenou,0.52
2ª,0,75,245000,3,0,El Clot,0.324
4ª,0,96,298000,3,1,El Poblenou,0.814
1ª,0,75,230000,3,0,El Poblenou,0.588
1ª,0,90,399000,3,0,El Clot,0.278
2ª,0,70,269000,2,0,El Clot,0.348
2ª,0,70,269000,2,0,El Clot,0.348
1ª,0,72,245000,3,0,Camp de l'Arpa,0.434
2ª,1,55,295000,1,0,Diagonal Mar,0.408
Atico,0,60,190000,3,0,El Poblenou,0.406
Casa,1,102,700000,4,0,Diagonal Mar,0.182
Casa,1,86,505000,3,0,El Poblenou,0.308
Atico,0,68,225000,3,0,El Poblenou,0.338
1ª,0,116,399000,3,0,El Poblenou,0.26
3ª,0,85,349000,2,0,El Poblenou,0.434
1ª,0,127,525000,3,0,El Poblenou,0.594
6ª,1,140,925000,4,0,El Poblenou,0.232
7ª,0,25,125000,1,0,El Clot,0.354
Casa,0,246,2350000,4,0,Diagonal Mar,0.072
Bajo,0,125,690000,2,0,El Poblenou,0.116
1ª,1,100,790000,2,0,Diagonal Mar,0.222
Atico,0,136,1300000,3,0,Diagonal Mar,0.298
Atico,0,288,2600000,4,0,El Poblenou,0.092
6ª,0,75,182000,3,0,El Poblenou,0.438
