date,floor,garage,link,m2,off,price,rooms,title
27-12-2018,8ª,0,https://www.idealista.com/inmueble/83689275/,74,0,380000,3,"Piso en calle Nàpols, Barcelona, El Fort Pienc, Barcelona"
27-12-2018,6ª,0,https://www.idealista.com/inmueble/83689158/,136,0,724500,5,"Piso en calle de València, La Dreta de l'Eixample, Barcelona"
27-12-2018,3ª,0,https://www.idealista.com/inmueble/83688991/,64,0,240000,3,"Piso en calle del Rosselló, Barcelona, La Dreta de l'Eixample, Barcelona"
27-12-2018,3ª,0,https://www.idealista.com/inmueble/83688809/,189,0,790000,10,"Piso en calle del Consejo de Ciento, Barcelona, La Dreta de l'Eixample, Barcelona"
27-12-2018,Bajo,0,https://www.idealista.com/inmueble/83688731/,129,0,265000,3,"Piso en calle de la Diputació, Barcelona, La Nova Esquerra de l'Eixample, Barcelona"
27-12-2018,1ª,0,https://www.idealista.com/inmueble/83688593/,140,0,975000,4,"Piso en La Dreta de l'Eixample, Barcelona"
27-12-2018,4ª,0,https://www.idealista.com/inmueble/83686833/,57,0,219000,3,"Piso en La Sagrada Família, Barcelona"
27-12-2018,5ª,0,https://www.idealista.com/inmueble/83686723/,88,0,295000,4,"Piso en La Sagrada Família, Barcelona"
27-12-2018,2ª,0,https://www.idealista.com/inmueble/83686662/,120,0,449000,5,"Piso en La Sagrada Família, Barcelona"
27-12-2018,6ª,0,https://www.idealista.com/inmueble/83686051/,89,0,445000,4,"Piso en calle Córcega, Barcelona, La Sagrada Família, Barcelona"
27-12-2018,6ª,0,https://www.idealista.com/inmueble/83685629/,81,0,313000,3,"Piso en La Sagrada Família, Barcelona"
27-12-2018,1ª,0,https://www.idealista.com/inmueble/83685635/,130,0,515000,5,"Piso en La Sagrada Família, Barcelona"
27-12-2018,1ª,0,https://www.idealista.com/inmueble/1639545/,60,0,475000,1,"Piso en calle Casanova, 173, L'Antiga Esquerra de l'Eixample, Barcelona"
27-12-2018,,0,https://www.idealista.com/inmueble/711688/,100,0,660000,2,"Piso en La Dreta de l'Eixample, Barcelona"
27-12-2018,4ª,0,https://www.idealista.com/inmueble/82072905/,69,0,300000,3,"Piso en via Josep Tarradelles, La Nova Esquerra de l'Eixample, Barcelona"
27-12-2018,2ª,0,https://www.idealista.com/inmueble/28180460/,100,0,440000,4,"Piso en El Fort Pienc, Barcelona"
27-12-2018,Entreplanta,0,https://www.idealista.com/inmueble/29944834/,77,0,193000,3,"Piso en calle de villarroel, 104, L'Antiga Esquerra de l'Eixample, Barcelona"
27-12-2018,4ª,0,https://www.idealista.com/inmueble/30462808/,85,0,750000,2,"Piso en La Dreta de l'Eixample, Barcelona"
27-12-2018,3ª,0,https://www.idealista.com/inmueble/83654372/,180,0,830000,5,"Piso en girona, 131, La Dreta de l'Eixample, Barcelona"
27-12-2018,1ª,0,https://www.idealista.com/inmueble/29049658/,92,0,850000,,"Estudio en La Dreta de l'Eixample, Barcelona"
27-12-2018,6ª,0,https://www.idealista.com/inmueble/31860369/,225,0,1399000,3,"Piso en paseo de Sant Joan, La Dreta de l'Eixample, Barcelona"
27-12-2018,4ª,0,https://www.idealista.com/inmueble/31914903/,120,0,950000,3,"Piso en calle del rosselló, La Dreta de l'Eixample, Barcelona"
27-12-2018,,0,https://www.idealista.com/inmueble/32316297/,215,0,1300000,5,"Piso en La Dreta de l'Eixample, Barcelona"
27-12-2018,1ª,0,https://www.idealista.com/inmueble/32431762/,160,0,319000,2,"Piso en Sant Antoni, Barcelona"
27-12-2018,5ª,0,https://www.idealista.com/inmueble/32588926/,93,0,325000,2,"Piso en calabria, 235, La Nova Esquerra de l'Eixample, Barcelona"
27-12-2018,4ª,0,https://www.idealista.com/inmueble/32848346/,170,0,650000,4,"Piso en La Dreta de l'Eixample, Barcelona"
27-12-2018,,0,https://www.idealista.com/inmueble/32996379/,80,0,750000,2,"Piso en La Dreta de l'Eixample, Barcelona"
27-12-2018,1ª,0,https://www.idealista.com/inmueble/33148486/,85,0,850000,1,"Piso en La Dreta de l'Eixample, Barcelona"
27-12-2018,8ª,0,https://www.idealista.com/inmueble/33238383/,110,0,890000,3,"Piso en corcega, La Dreta de l'Eixample, Barcelona"
27-12-2018,3ª,0,https://www.idealista.com/inmueble/33391771/,95,0,349000,3,"Piso en girona, 88, La Dreta de l'Eixample, Barcelona"
27-12-2018,8ª,0,https://www.idealista.com/inmueble/33421529/,110,0,890000,3,"Piso en calle de còrsega, La Dreta de l'Eixample, Barcelona"
27-12-2018,8ª,0,https://www.idealista.com/inmueble/33713567/,81,0,735000,1,"Piso en rambla catalunya, La Dreta de l'Eixample, Barcelona"
27-12-2018,Bajo,0,https://www.idealista.com/inmueble/33775769/,90,0,750000,2,"Piso en rambla de catalunya, La Dreta de l'Eixample, Barcelona"
27-12-2018,1ª,0,https://www.idealista.com/inmueble/33811010/,278,0,2450000,3,"Piso en rambla Rambla de Catalunya, 3, La Dreta de l'Eixample, Barcelona"
27-12-2018,,1,https://www.idealista.com/inmueble/34063071/,568,0,2600000,6,"Casa o chalet independiente en La Sagrada Família, Barcelona"
27-12-2018,9ª,0,https://www.idealista.com/inmueble/34654964/,120,0,890000,3,"Piso en calle de còrsega, La Dreta de l'Eixample, Barcelona"
27-12-2018,8ª,0,https://www.idealista.com/inmueble/34762638/,110,0,890000,3,"Ático en calle de Còrsega, La Dreta de l'Eixample, Barcelona"
27-12-2018,4ª,0,https://www.idealista.com/inmueble/34807282/,79,0,440000,2,"Piso en La Nova Esquerra de l'Eixample, Barcelona"
27-12-2018,7ª,0,https://www.idealista.com/inmueble/34807461/,103,0,639000,3,"Piso en La Nova Esquerra de l'Eixample, Barcelona"
27-12-2018,5ª,0,https://www.idealista.com/inmueble/83691656/,45,0,200000,2,"Piso en arco DEL TEATRO, El Raval, Barcelona"
27-12-2018,3ª,0,https://www.idealista.com/inmueble/83691626/,47,0,130000,2,"Piso en calle de les Carretes, Barcelona, El Raval, Barcelona"
27-12-2018,3ª,0,https://www.idealista.com/inmueble/83691501/,171,0,1030000,3,"Piso en Passatge del Patriarca, Barcelona, El Gòtic, Barcelona"
27-12-2018,1ª,0,https://www.idealista.com/inmueble/83691383/,35,0,130000,2,"Piso en cera, El Raval, Barcelona"
27-12-2018,4ª,0,https://www.idealista.com/inmueble/83690737/,61,0,165000,2,"Piso en riereta, El Raval, Barcelona"
27-12-2018,3ª,0,https://www.idealista.com/inmueble/83690730/,171,0,1030000,3,"Piso en Passatge del Patriarca, El Gòtic, Barcelona"
27-12-2018,3ª,0,https://www.idealista.com/inmueble/83690488/,135,0,935000,3,"Piso en via Layetana, Barcelona, El Gòtic, Barcelona"
27-12-2018,2ª,0,https://www.idealista.com/inmueble/83690392/,40,0,125000,2,"Piso en raval, El Raval, Barcelona"
27-12-2018,1ª,0,https://www.idealista.com/inmueble/83690185/,46,0,185000,,"Estudio en Montserrat, El Raval, Barcelona"
27-12-2018,4ª,0,https://www.idealista.com/inmueble/83690099/,68,0,225000,3,"Piso en calle de la Cera, Barcelona, El Raval, Barcelona"
27-12-2018,2ª,0,https://www.idealista.com/inmueble/83689624/,37,0,125000,2,"Piso en El Raval, Barcelona"
27-12-2018,1ª,0,https://www.idealista.com/inmueble/83689590/,190,0,1200000,8,"Piso en rambla de Canaletes, El Gòtic, Barcelona"
27-12-2018,Entreplanta,0,https://www.idealista.com/inmueble/83689494/,50,0,139000,1,"Piso en calle de Sant Gil, Barcelona, El Raval, Barcelona"
27-12-2018,2ª,0,https://www.idealista.com/inmueble/83689471/,130,0,620000,3,"Piso en Sant Pere - Santa Caterina i la Ribera, Barcelona"
27-12-2018,1ª,0,https://www.idealista.com/inmueble/83689356/,130,0,610000,3,"Piso en Sant Pere - Santa Caterina i la Ribera, Barcelona"
27-12-2018,1ª,0,https://www.idealista.com/inmueble/83689322/,202,0,950000,5,"Piso en calle carmen, El Raval, Barcelona"
27-12-2018,1ª,0,https://www.idealista.com/inmueble/83689240/,130,0,600000,3,"Piso en Sant Pere - Santa Caterina i la Ribera, Barcelona"
27-12-2018,1ª,0,https://www.idealista.com/inmueble/83686251/,202,0,950000,5,"Piso en calle del Carme, 24, El Raval, Barcelona"
27-12-2018,1ª,0,https://www.idealista.com/inmueble/83688958/,38,0,210000,1,"Piso en calle de la Riereta, Barcelona, El Raval, Barcelona"
27-12-2018,Bajo,0,https://www.idealista.com/inmueble/83688855/,50,0,169000,1,"Piso en sevilla, La Barceloneta, Barcelona"
27-12-2018,3ª,0,https://www.idealista.com/inmueble/83688609/,171,0,1030000,3,"Piso en El Gòtic, Barcelona"
27-12-2018,1ª,0,https://www.idealista.com/inmueble/83687116/,50,0,139000,1,"Piso en raval, El Raval, Barcelona"
27-12-2018,3ª,0,https://www.idealista.com/inmueble/83685483/,72,0,325000,2,"Piso en calle de Sant Pere Més Alt, Barcelona, 15, Sant Pere - Santa Caterina i la Ribera, Barcelona"
27-12-2018,1ª,0,https://www.idealista.com/inmueble/83682781/,57,0,240000,1,"Piso en calle de les Flors, 20, El Raval, Barcelona"
27-12-2018,,0,https://www.idealista.com/inmueble/83682743/,100,0,620000,2,"Piso en calle Nou de Sant Francesc, El Gòtic, Barcelona"
27-12-2018,,0,https://www.idealista.com/inmueble/83682713/,164,0,629000,2,"Piso en calle de n'Amargós, El Gòtic, Barcelona"
27-12-2018,,0,https://www.idealista.com/inmueble/83682709/,88,0,555000,2,"Piso en Passatge del Dormitori Sant Francesc, El Gòtic, Barcelona"
27-12-2018,,0,https://www.idealista.com/inmueble/83682184/,136,0,595000,4,"Piso en calle de Sant Pere Més Alt, Sant Pere - Santa Caterina i la Ribera, Barcelona"
27-12-2018,,0,https://www.idealista.com/inmueble/83682180/,176,0,830000,4,"Piso en calle de Sant Antoni Abat, El Raval, Barcelona"
27-12-2018,,0,https://www.idealista.com/inmueble/83682151/,125,0,600000,1,"Dúplex en calle de la Portaferrissa, El Gòtic, Barcelona"
27-12-2018,2ª,0,https://www.idealista.com/inmueble/1602587/,130,0,675000,3,"Piso en calle Nueva de San Francisco, 42, El Gòtic, Barcelona"
27-12-2018,3ª,0,https://www.idealista.com/inmueble/40375136/,52,0,219000,,"Estudio en calle GUIFRE, El Raval, Barcelona"
27-12-2018,1ª,0,https://www.idealista.com/inmueble/1675765/,80,0,349000,2,"Piso en calle Còdols, 21, El Gòtic, Barcelona"
27-12-2018,5ª,0,https://www.idealista.com/inmueble/32867504/,65,0,390000,3,"Ático en calle PEU DE LA CREU, El Raval, Barcelona"
27-12-2018,1ª,0,https://www.idealista.com/inmueble/1644595/,85,0,330000,4,"Piso en calle Joaquín Costa, 37, El Raval, Barcelona"
27-12-2018,5ª,0,https://www.idealista.com/inmueble/1700730/,375,0,4000000,5,"Piso en rambla Canaletes, 140, El Gòtic, Barcelona"
27-12-2018,2ª,0,https://www.idealista.com/inmueble/83034579/,50,0,218000,1,"Piso en calle Assaonadors, 18, Sant Pere - Santa Caterina i la Ribera, Barcelona"
27-12-2018,5ª,0,https://www.idealista.com/inmueble/38354637/,40,0,159000,1,"Piso en Calle Salvadors, El Raval, Barcelona"
27-12-2018,2ª,0,https://www.idealista.com/inmueble/309611/,40,0,200000,2,"Piso en calle Vinaròs, 3, La Barceloneta, Barcelona"
27-12-2018,,0,https://www.idealista.com/inmueble/25817262/,45,0,249000,1,"Piso en calle de les Cabres, s/n, El Raval, Barcelona"
27-12-2018,5ª,0,https://www.idealista.com/inmueble/25832846/,60,0,350000,2,"Ático en calle Lluna, 25, El Raval, Barcelona"
27-12-2018,2ª,0,https://www.idealista.com/inmueble/26798817/,160,0,900000,4,"Piso en paseo Isabel II, 6, Sant Pere - Santa Caterina i la Ribera, Barcelona"
27-12-2018,4ª,0,https://www.idealista.com/inmueble/27187318/,80,0,450000,2,"Piso en calle Ramblas, El Raval, Barcelona"
27-12-2018,6ª,0,https://www.idealista.com/inmueble/27440596/,31,0,145000,1,"Ático en calle de l'Arc de Sant Onofre, 1, Sant Pere - Santa Caterina i la Ribera, Barcelona"
27-12-2018,2ª,0,https://www.idealista.com/inmueble/82498048/,64,0,275000,2,"Piso en calle Side, Sant Pere - Santa Caterina i la Ribera, Barcelona"
27-12-2018,1ª,1,https://www.idealista.com/inmueble/28002908/,82,0,590000,2,"Piso en calle Doctor Aiguader, 9, Sant Pere - Santa Caterina i la Ribera, Barcelona"
27-12-2018,3ª,0,https://www.idealista.com/inmueble/28642232/,125,0,630000,1,"Ático en calle Jonqueres, Sant Pere - Santa Caterina i la Ribera, Barcelona"
27-12-2018,3ª,0,https://www.idealista.com/inmueble/82774465/,50,0,420000,1,"Piso en calle Dr. Aiguader, 5, Sant Pere - Santa Caterina i la Ribera, Barcelona"
27-12-2018,4ª,0,https://www.idealista.com/inmueble/81532828/,52,0,290000,1,"Piso en El Raval, Barcelona"
27-12-2018,7ª,0,https://www.idealista.com/inmueble/29423891/,60,0,495000,2,"Ático en avenida Portal del Àngel, El Gòtic, Barcelona"
27-12-2018,4ª,0,https://www.idealista.com/inmueble/81747944/,150,0,441000,3,"Piso en calle de Cervantes, 5, El Gòtic, Barcelona"
27-12-2018,5ª,0,https://www.idealista.com/inmueble/31515509/,84,0,285000,2,"Piso en Sant Pere - Santa Caterina i la Ribera, Barcelona"
27-12-2018,5ª,0,https://www.idealista.com/inmueble/82383104/,45,0,180000,2,"Piso en calle dels pescadors, 54, La Barceloneta, Barcelona"
27-12-2018,Entreplanta,0,https://www.idealista.com/inmueble/31764693/,116,0,395000,3,"Piso en calle de sant domènec del call, El Gòtic, Barcelona"
27-12-2018,,0,https://www.idealista.com/inmueble/32022741/,293,0,2500000,2,"Piso en Sant Pere - Santa Caterina i la Ribera, Barcelona"
27-12-2018,1ª,0,https://www.idealista.com/inmueble/32206369/,345,0,2600000,2,"Piso en passatge sert, Sant Pere - Santa Caterina i la Ribera, Barcelona"
27-12-2018,6ª,0,https://www.idealista.com/inmueble/32289445/,73,0,599000,2,"Piso en El Gòtic, Barcelona"
27-12-2018,1ª,0,https://www.idealista.com/inmueble/32851115/,150,0,590000,3,"Piso en El Gòtic, Barcelona"
27-12-2018,,0,https://www.idealista.com/inmueble/32996241/,155,0,890000,3,"Piso en El Gòtic, Barcelona"
27-12-2018,,0,https://www.idealista.com/inmueble/32996329/,293,0,2500000,2,"Piso en Sant Pere - Santa Caterina i la Ribera, Barcelona"
27-12-2018,1ª,0,https://www.idealista.com/inmueble/81301077/,112,0,416000,3,"Piso en Sants, Barcelona"
27-12-2018,2ª,0,https://www.idealista.com/inmueble/83054548/,66,268000,257000,3,"Piso en calle de la Creu dels Molers, Barcelona, El Poble Sec - Parc de Montjuïc, Barcelona"
27-12-2018,1ª,0,https://www.idealista.com/inmueble/82397961/,67,0,300000,2,"Piso en El Poble Sec - Parc de Montjuïc, Barcelona"
